Canonical_Claim_ID,Dataset,Claim_Type,Baseline_Status,MAVA_Status,Validation_Transition,Original_Claim_Text,MAVA_Claim_Text,Correction_Status,Correction_Method,Correction_Verification
Walmart::C029,Walmart,ENTITY_VALUE,MISMATCH,MATCH,MISMATCH_TO_MATCH,"Store 22 average weekly sales is 1,028,501.0390.","Store 22 average weekly sales is 1,028,501.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,VALID_CORRECTION
Walmart::C030,Walmart,ENTITY_VALUE,MISMATCH,MATCH,MISMATCH_TO_MATCH,"Store 12 average weekly sales is 1,009,001.6094.","Store 12 average weekly sales is 1,009,001.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,VALID_CORRECTION
Walmart::C031,Walmart,ENTITY_VALUE,MISMATCH,MATCH,MISMATCH_TO_MATCH,"Store 26 average weekly sales is 1,002,911.8447.","Store 26 average weekly sales is 1,002,911.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,VALID_CORRECTION
Walmart::C032,Walmart,ENTITY_VALUE,MISMATCH,MATCH,MISMATCH_TO_MATCH,"Store 34 average weekly sales is 966,781.5594.","Store 34 average weekly sales is 966,781.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,VALID_CORRECTION
Walmart::C033,Walmart,ENTITY_VALUE,MISMATCH,MATCH,MISMATCH_TO_MATCH,"Store 40 average weekly sales is 964,128.0405.","Store 40 average weekly sales is 964,128.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,VALID_CORRECTION
Walmart::C034,Walmart,ENTITY_VALUE,MISMATCH,MATCH,MISMATCH_TO_MATCH,"Store 35 average weekly sales is 919,724.9796.","Store 35 average weekly sales is 919,724.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,VALID_CORRECTION
Walmart::C035,Walmart,ENTITY_VALUE,MISMATCH,MATCH,MISMATCH_TO_MATCH,"Store 8 average weekly sales is 908,749.5184.","Store 8 average weekly sales is 908,749.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,VALID_CORRECTION
Walmart::C036,Walmart,ENTITY_VALUE,MISMATCH,MATCH,MISMATCH_TO_MATCH,"Store 17 average weekly sales is 893,581.3904.","Store 17 average weekly sales is 893,581.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,VALID_CORRECTION
Walmart::C037,Walmart,ENTITY_VALUE,MISMATCH,MATCH,MISMATCH_TO_MATCH,"Store 21 average weekly sales is 756,069.0834.","Store 21 average weekly sales is 756,069.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,VALID_CORRECTION
Walmart::C038,Walmart,ENTITY_VALUE,MISMATCH,MATCH,MISMATCH_TO_MATCH,"Store 25 average weekly sales is 706,721.5327.","Store 25 average weekly sales is 706,721.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,VALID_CORRECTION
Walmart::C039,Walmart,ENTITY_VALUE,MISMATCH,MATCH,MISMATCH_TO_MATCH,"Store 15 average weekly sales is 623,312.4750.","Store 15 average weekly sales is 623,312.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,VALID_CORRECTION
Walmart::C040,Walmart,ENTITY_VALUE,MISMATCH,MATCH,MISMATCH_TO_MATCH,"Store 7 average weekly sales is 570,617.3087.","Store 7 average weekly sales is 570,617.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,VALID_CORRECTION
Walmart::C041,Walmart,ENTITY_VALUE,MISMATCH,MATCH,MISMATCH_TO_MATCH,"Store 42 average weekly sales is 556,403.8631.","Store 42 average weekly sales is 556,403.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,VALID_CORRECTION
Walmart::C042,Walmart,ENTITY_VALUE,MISMATCH,MATCH,MISMATCH_TO_MATCH,"Store 9 average weekly sales is 543,980.5524.","Store 9 average weekly sales is 543,980.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,VALID_CORRECTION
Walmart::C043,Walmart,ENTITY_VALUE,MISMATCH,MATCH,MISMATCH_TO_MATCH,"Store 29 average weekly sales is 539,451.4287.","Store 29 average weekly sales is 539,451.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,VALID_CORRECTION
Walmart::C044,Walmart,ENTITY_VALUE,MISMATCH,MATCH,MISMATCH_TO_MATCH,"Store 16 average weekly sales is 519,247.7301.","Store 16 average weekly sales is 519,247.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,VALID_CORRECTION
Walmart::C045,Walmart,ENTITY_VALUE,MISMATCH,MATCH,MISMATCH_TO_MATCH,"Store 37 average weekly sales is 518,900.2820.","Store 37 average weekly sales is 518,900.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,VALID_CORRECTION
Walmart::C046,Walmart,ENTITY_VALUE,MISMATCH,MATCH,MISMATCH_TO_MATCH,"Store 30 average weekly sales is 438,579.6162.","Store 30 average weekly sales is 438,579.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,VALID_CORRECTION
Walmart::C047,Walmart,ENTITY_VALUE,MISMATCH,MATCH,MISMATCH_TO_MATCH,"Store 3 average weekly sales is 402,704.4410.","Store 3 average weekly sales is 402,704.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,VALID_CORRECTION
Walmart::C048,Walmart,ENTITY_VALUE,MISMATCH,MATCH,MISMATCH_TO_MATCH,"Store 38 average weekly sales is 385,731.6533.","Store 38 average weekly sales is 385,731.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,VALID_CORRECTION
Walmart::C049,Walmart,ENTITY_VALUE,MISMATCH,MATCH,MISMATCH_TO_MATCH,"Store 36 average weekly sales is 373,511.9928.","Store 36 average weekly sales is 373,511.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,VALID_CORRECTION
Walmart::C050,Walmart,ENTITY_VALUE,MISMATCH,MATCH,MISMATCH_TO_MATCH,"Store 5 average weekly sales is 318,011.8105.","Store 5 average weekly sales is 318,011.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,VALID_CORRECTION
Walmart::C051,Walmart,ENTITY_VALUE,MISMATCH,MATCH,MISMATCH_TO_MATCH,"Store 33 average weekly sales is 259,861.6920.","Store 33 average weekly sales is 259,861.1,046,964.8776.",VERIFIED_CORRECTION_APPLIED,Corrected numeric value matches a frozen ground-truth value within deterministic tolerance.,VALID_CORRECTION
